 0.8544,"In the name of Allah, Most Gracious, Most Merciful.","Gracious is the LORD, and righteous; yea, our God is merciful."
 0.9474,"Your Lord knoweth best what is in your hearts: If ye do deeds of righteousness, verily He is Most Forgiving to those who turn to Him again and again (in true penitence).",But sanctify the Lord God in your hearts: and be ready always to give an answer to every man that asketh you a reason of the hope that is in you with meekness and fear:
 0.9398,"And render to the kindred their due rights, as (also) to those in want, and to the wayfarer: But squander not (your wealth) in the manner of a spendthrift.","Keeping mercy for thousands, forgiving iniquity and transgression and sin, and that will by no means clear the guilty; visiting the iniquity of the fathers upon the children, and upon the children's children, unto the third and to the fourth generation."
 0.9442,Verily spendthrifts are brothers of the Evil Ones; and the Evil One is to his Lord (himself) ungrateful.,The way of the LORD is strength to the upright: but destruction shall be to the workers of iniquity.
 0.9331,"And even if thou hast to turn away from them in pursuit of the Mercy from thy Lord which thou dost expect, yet speak to them a word of easy kindness.","Thou shalt not hate thy brother in thine heart: thou shalt in any wise rebuke thy neighbor, and not suffer sin upon him."
 0.9348,"Make not thy hand tied (like a niggard's) to thy neck, nor stretch it forth to its utmost reach, so that thou become blameworthy and destitute.","Give not that which is holy unto the dogs, neither cast ye your pearls before swine, lest they trample them under their feet, and turn again and rend you."
 0.9178,"Verily thy Lord doth provide sustenance in abundance for whom He pleaseth, and He provideth in a just measure. For He doth know and regard all His servants.","The LORD shall command the blessing upon thee in thy storehouses, and in all that thou settest thine hand unto; and he shall bless thee in the land which the LORD thy God giveth thee."
 0.9151,Kill not your children for fear of want: We shall provide sustenance for them as well as for you. Verily the killing of them is a great sin.,"Obey them that have the rule over you, and submit yourselves: for they watch for your souls, as they that must give account, that they may do it with joy, and not with grief: for that is unprofitable for you."
 0.9473,"Nor come nigh to adultery: for it is a shameful (deed) and an evil, opening the road (to other evils).","For this is an heinous crime; yea, it is an iniquity to be punished by the judges."
 0.9382,"Nor take life - which Allah has made sacred - except for just cause. And if anyone is slain wrongfully, we have given his heir authority (to demand qisas or to forgive): but let him not exceed bounds in the matter of taking life; for he is helped (by the Law).","I do not frustrate the grace of God: for if righteousness come by the law, then Christ is dead in vain."
 0.9421,"Come not nigh to the orphan's property except to improve it, until he attains the age of full strength; and fulfil (every) engagement, for (every) engagement will be enquired into (on the Day of Reckoning).","And if he that sanctified the field will in any wise redeem it, then he shall add the fifth part of the money of thy estimation unto it, and it shall be assured to him."
 0.9274,"Give full measure when ye measure, and weigh with a balance that is straight: that is the most fitting and the most advantageous in the final determination.","Unto you therefore which believe he is precious: but unto them which be disobedient, the stone which the builders disallowed, the same is made the head of the corner,"
 0.9340,"And pursue not that of which thou hast no knowledge; for every act of hearing, or of seeing or of (feeling in) the heart will be enquired into (on the Day of Reckoning).","And if ye call on the Father, who without respect of persons judgeth according to every man's work, pass the time of your sojourning here in fear:"
 0.9367,"Nor walk on the earth with insolence: for thou canst not rend the earth asunder, nor reach the mountains in height.","The fruit of thy land, and all thy labors, shall a nation which thou knowest not eat up; and thou shalt be only oppressed and crushed alway:"
 0.9359,Of all such things the evil is hateful in the sight of thy Lord.,The foolish shall not stand in thy sight: thou hatest all workers of iniquity.
 0.9502,"These are among the (precepts of) wisdom, which thy Lord has revealed to thee. Take not, with Allah, another object of worship, lest thou shouldst be thrown into Hell, blameworthy and rejected.","Whereby are given unto us exceeding great and precious promises: that by these ye might be partakers of the divine nature, having escaped the corruption that is in the world through lust."
 0.9534,"Has then your Lord (O Pagans!) preferred for you sons, and taken for Himself daughters among the angels? Truly ye utter a most dreadful saying!","Ye stand upon your sword, ye work abomination, and ye defile every one his neighbour's wife: and shall ye possess the land?"
 0.9255,"We have explained (things) in various (ways) in this Qur'an, in order that they may receive admonition, but it only increases their flight (from the Truth)!",In meekness instructing those that oppose themselves; if God peradventure will give them repentance to the acknowledging of the truth;
 0.9237,"Say: If there had been (other) gods with Him, as they say,- behold, they would certainly have sought out a way to the Lord of the Throne!","For if he were on earth, he should not be a priest, seeing that there are priests that offer gifts according to the law:"
 0.9361,Glory to Him! He is high above all that they say!- Exalted and Great (beyond measure)!,"For such an high priest became us, who is holy, harmless, undefiled, separate from sinners, and made higher than the heavens;"
 0.9319,"The seven heavens and the earth, and all beings therein, declare His glory: there is not a thing but celebrates His praise; And yet ye understand not how they declare His glory! Verily He is Oft-Forbear, Most Forgiving!","Lift up your eyes on high, and behold who hath created these things, that bringeth out their host by number: he calleth them all by names by the greatness of his might, for that he is strong in power; not one faileth."
 0.9275,"When thou dost recite the Qur'an, We put, between thee and those who believe not in the Hereafter, a veil invisible:","And thou shalt command the priests that bear the ark of the covenant, saying, When ye are come to the brink of the water of Jordan, ye shall stand still in Jordan."
 0.9366,"And We put coverings over their hearts (and minds) lest they should understand the Qur'an, and deafness into their ears: when thou dost commemorate thy Lord and Him alone in the Qur'an, they turn on their backs, fleeing (from the Truth).","Yea, all Israel have transgressed thy law, even by departing, that they might not obey thy voice; therefore the curse is poured upon us, and the oath that is written in the law of Moses the servant of God, because we have sinned against him."
 0.9408,"We know best why it is they listen, when they listen to thee; and when they meet in private conference, behold, the wicked say, ""Ye follow none other than a man bewitched!""","The prophets prophesy falsely, and the priests bear rule by their means; and my people love to have it so: and what will ye do in the end thereof?"
 0.9314,"See what similes they strike for thee: but they have gone astray, and never can they find a way.","They return, but not to the most High: they are like a deceitful bow: their princes shall fall by the sword for the rage of their tongue: this shall be their derision in the land of Egypt."
 0.9032,"They say: ""What! when we are reduced to bones and dust, should we really be raised up (to be) a new creation?""","Else what shall they do which are baptized for the dead, if the dead rise not at all? why are they then baptized for the dead?"
 0.9297,"Say: ""(Nay!) be ye stones or iron,","Moab is confounded; for it is broken down: howl and cry; tell ye it in Arnon, that Moab is spoiled,"
 0.9309,"""Or created matter which, in your minds, is hardest (to be raised up),- (Yet shall ye be raised up)!"" then will they say: ""Who will cause us to return?"" Say: ""He who created you first!"" Then will they wag their heads towards thee, and say, ""When will that be?"" Say, ""May be it will be quite soon!","And it shall come to pass, that all they that look upon thee shall flee from thee, and say, Nineveh is laid waste: who will bemoan her? whence shall I seek comforters for thee?"
 0.9349,"""It will be on a Day when He will call you, and ye will answer (His call) with (words of) His praise, and ye will think that ye tarried but a little while!""","And, behold, I send the promise of my Father upon you: but tarry ye in the city of Jerusalem, until ye be endued with power from on high."
 0.9403,Say to My servants that they should (only) say those things that are best: for Satan doth sow dissensions among them: For Satan is to man an avowed enemy.,"For he is the minister of God to thee for good. But if thou do that which is evil, be afraid; for he beareth not the sword in vain: for he is the minister of God, a revenger to execute wrath upon him that doeth evil."
 0.9506,"It is your Lord that knoweth you best: If He please, He granteth you mercy, or if He please, punishment: We have not sent thee to be a disposer of their affairs for them.","I have confidence in you through the Lord, that ye will be none otherwise minded: but he that troubleth you shall bear his judgment, whosoever he be."
 0.9530,And it is your Lord that knoweth best all beings that are in the heavens and on earth: We did bestow on some prophets more (and other) gifts than on others: and We gave to David (the gift of) the Psalms.,"To fetch about this form of speech hath thy servant Joab done this thing: and my lord is wise, according to the wisdom of an angel of God, to know all things that are in the earth."
 0.9233,"Say: ""Call on those - besides Him - whom ye fancy: they have neither the power to remove your troubles from you nor to change them.""","Be not ye therefore like unto them: for your Father knoweth what things ye have need of, before ye ask him."
 0.9477,"Those whom they call upon do desire (for themselves) means of access to their Lord, - even those who are nearest: they hope for His Mercy and fear His Wrath: for the Wrath of thy Lord is something to take heed of.","Take heed that ye do not your alms before men, to be seen of them: otherwise ye have no reward of your Father which is in heaven."
 0.9445,There is not a population but We shall destroy it before the Day of Judgment or punish it with a dreadful Penalty: that is written in the (eternal) Record.,"The men of Nineveh shall rise in judgment with this generation, and shall condemn it: because they repented at the preaching of Jonas; and, behold, a greater than Jonas is here."
 0.9386,"And We refrain from sending the signs, only because the men of former generations treated them as false: We sent the she-camel to the Thamud to open their eyes, but they treated her wrongfully: We only send the Signs by way of terror (and warning from evil).","The priests said not, Where is the LORD? and they that handle the law knew me not: the pastors also transgressed against me, and the prophets prophesied by Baal, and walked after things that do not profit."
 0.9507,"Behold! We told thee that thy Lord doth encompass mankind round about: We granted the vision which We showed thee, but as a trial for men,- as also the Cursed Tree (mentioned) in the Qur'an: We put terror (and warning) into them, but it only increases their inordinate transgression!","Yea, all Israel have transgressed thy law, even by departing, that they might not obey thy voice; therefore the curse is poured upon us, and the oath that is written in the law of Moses the servant of God, because we have sinned against him."
 0.9291,"Behold! We said to the angels: ""Bow down unto Adam"": They bowed down except Iblis: He said, ""Shall I bow down to one whom Thou didst create from clay?""","And when he came to the den, he cried with a lamentable voice unto Daniel: and the king spake and said to Daniel, O Daniel, servant of the living God, is thy God, whom thou servest continually, able to deliver thee from the lions?"
 0.9295,"He said: ""Seest Thou? this is the one whom Thou hast honoured above me! If Thou wilt but respite me to the Day of Judgment, I will surely bring his descendants under my sway - all but a few!""","Thou also hast delivered me from the strivings of my people, thou hast kept me to be head of the heathen: a people which I knew not shall serve me."
 0.9233,"(Allah) said: ""Go thy way; if any of them follow thee, verily Hell will be the recompense of you (all)- an ample recompense.","Flee out of the midst of Babylon, and deliver every man his soul: be not cut off in her iniquity; for this is the time of the LORD's vengeance; he will render unto her a recompence."
 0.9496,"""Lead to destruction those whom thou canst among them, with thy (seductive) voice; make assaults on them with thy cavalry and thy infantry; mutually share with them wealth and children; and make promises to them."" But Satan promises them nothing but deceit.","And the LORD sent thee on a journey, and said, Go and utterly destroy the sinners the Amalekites, and fight against them until they be consumed."
 0.9306,"""As for My servants, no authority shalt thou have over them:"" Enough is thy Lord for a Disposer of affairs.","I will be thy king: where is any other that may save thee in all thy cities? and thy judges of whom thou saidst, Give me a king and princes?"
 0.9509,"Your Lord is He That maketh the Ship go smoothly for you through the sea, in order that ye may seek of his Bounty. For he is unto you most Merciful.","But thou shalt remember the LORD thy God: for it is he that giveth thee power to get wealth, that he may establish his covenant which he sware unto thy fathers, as it is this day."
 0.9127,"When distress seizes you at sea, those that ye call upon - besides Himself - leave you in the lurch! but when He brings you back safe to land, ye turn away (from Him). Most ungrateful is man!","For if ye turn away from after him, he will yet again leave them in the wilderness; and ye shall destroy all this people."
 0.9167,"Do ye then feel secure that He will not cause you to be swallowed up beneath the earth when ye are on land, or that He will not send against you a violent tornado (with showers of stones) so that ye shall find no one to carry out your affairs for you?","Know for a certainty that the LORD your God will no more drive out any of these nations from before you; but they shall be snares and traps unto you, and scourges in your sides, and thorns in your eyes, until ye perish from off this good land which the LORD your God hath given you."
 0.9365,"Or do ye feel secure that He will not send you back a second time to sea and send against you a heavy gale to drown you because of your ingratitude, so that ye find no helper. Therein against Us?",What do ye imagine against the LORD? he will make an utter end: affliction shall not rise up the second time.
 0.9337,"We have honoured the sons of Adam; provided them with transport on land and sea; given them for sustenance things good and pure; and conferred on them special favours, above a great part of our creation.",And I gave my heart to seek and search out by wisdom concerning all things that are done under heaven: this sore travail hath God given to the sons of man to be exercised therewith.
 0.9329,"One day We shall call together all human beings with their (respective) Imams: those who are given their record in their right hand will read it (with pleasure), and they will not be dealt with unjustly in the least.","When he shall come to be glorified in his saints, and to be admired in all them that believe (because our testimony among you was believed) in that day."
 0.9213,"But those who were blind in this world, will be blind in the hereafter, and most astray from the Path.",For ye were as sheep going astray; but are now returned unto the Shepherd and Bishop of your souls.
 0.9310,"And their purpose was to tempt thee away from that which We had revealed unto thee, to substitute in our name something quite different; (in that case), behold! they would certainly have made thee (their) friend!","If I have rewarded evil unto him that was at peace with me; (yea, I have delivered him that without cause is mine enemy:)"
 0.9079,"And had We not given thee strength, thou wouldst nearly have inclined to them a little.","Shouldest not thou also have had compassion on thy fellowservant, even as I had pity on thee?"
 0.9360,"In that case We should have made thee taste an equal portion (of punishment) in this life, and an equal portion in death: and moreover thou wouldst have found none to help thee against Us!","His body shall not remain all night upon the tree, but thou shalt in any wise bury him that day; (for he that is hanged is accursed of God;) that thy land be not defiled, which the LORD thy God giveth thee for an inheritance."
 0.9108,"Their purpose was to scare thee off the land, in order to expel thee; but in that case they would not have stayed (therein) after thee, except for a little while.","If they sin against thee, (for there is no man that sinneth not,) and thou be angry with them, and deliver them to the enemy, so that they carry them away captives unto the land of the enemy, far or near;"
 0.9148,(This was Our) way with the messengers We sent before thee: thou wilt find no change in Our ways.,"But if I say thus unto the young man, Behold, the arrows are beyond thee; go thy way: for the LORD hath sent thee away."
 0.9342,"Establish regular prayers - at the sun's decline till the darkness of the night, and the morning prayer and reading: for the prayer and reading in the morning carry their testimony.","And to stand every morning to thank and praise the LORD, and likewise at even:"
 0.9424,And pray in the small watches of the morning: (it would be) an additional prayer (or spiritual profit) for thee: soon will thy Lord raise thee to a Station of Praise and Glory!,"Wherefore also we pray always for you, that our God would count you worthy of this calling, and fulfil all the good pleasure of his goodness, and the work of faith with power:"
 0.9372,"Say: ""O my Lord! Let my entry be by the Gate of Truth and Honour, and likewise my exit by the Gate of Truth and Honour; and grant me from Thy Presence an authority to aid (me).""","The LORD shall judge the people: judge me, O LORD, according to my righteousness, and according to mine integrity that is in me."
 0.9327,"And say: ""Truth has (now) arrived, and Falsehood perished: for Falsehood is (by its nature) bound to perish.""","(For the redemption of their soul is precious, and it ceaseth for ever:)"
 0.9352,We send down (stage by stage) in the Qur'an that which is a healing and a mercy to those who believe: to the unjust it causes nothing but loss after loss.,"Which things are an allegory: for these are the two covenants; the one from the mount Sinai, which gendereth to bondage, which is Agar."
 0.9134,"Yet when We bestow Our favours on man, he turns away and becomes remote on his side (instead of coming to Us), and when evil seizes him he gives himself up to despair!","Wherefore I perceive that there is nothing better, than that a man should rejoice in his own works; for that is his portion: for who shall bring him to see what shall be after him?"
 0.9183,"Say: ""Everyone acts according to his own disposition: But your Lord knows best who it is that is best guided on the Way.""","Even a child is known by his doings, whether his work be pure, and whether it be right."
 0.9511,"They ask thee concerning the Spirit (of inspiration). Say: ""The Spirit (cometh) by command of my Lord: of knowledge it is only a little that is communicated to you, (O men!)""","To fetch about this form of speech hath thy servant Joab done this thing: and my lord is wise, according to the wisdom of an angel of God, to know all things that are in the earth."
 0.9433,"If it were Our Will, We could take away that which We have sent thee by inspiration: then wouldst thou find none to plead thy affair in that matter as against Us,-","And Jonathan said, Far be it from thee: for if I knew certainly that evil were determined by my father to come upon thee, then would not I tell it thee?"
 0.9535,Except for Mercy from thy Lord: for his bounty is to thee (indeed) great.,Salvation belongeth unto the LORD: thy blessing is upon thy people. Selah.
 0.8991,"Say: ""If the whole of mankind and Jinns were to gather together to produce the like of this Qur'an, they could not produce the like thereof, even if they backed up each other with help and support.","And shall go out to deceive the nations which are in the four quarters of the earth, Gog, and Magog, to gather them together to battle: the number of whom is as the sand of the sea."
 0.9356,"And We have explained to man, in this Qur'an, every kind of similitude: yet the greater part of men refuse (to receive it) except with ingratitude!","For the love of money is the root of all evil: which while some coveted after, they have erred from the faith, and pierced themselves through with many sorrows."
 0.9407,"They say: ""We shall not believe in thee, until thou cause a spring to gush forth for us from the earth,","They answered him, We be Abraham's seed, and were never in bondage to any man: how sayest thou, Ye shall be made free?"
 0.9495,"""Or (until) thou have a garden of date trees and vines, and cause rivers to gush forth in their midst, carrying abundant water;","For he shall be as a tree planted by the waters, and that spreadeth out her roots by the river, and shall not see when heat cometh, but her leaf shall be green; and shall not be careful in the year of drought, neither shall cease from yielding fruit."
 0.9448,"""Or thou cause the sky to fall in pieces, as thou sayest (will happen), against us; or thou bring Allah and the angels before (us) face to face:","Then shall he say also unto them on the left hand, Depart from me, ye cursed, into everlasting fire, prepared for the devil and his angels:"
 0.9395,"""Or thou have a house adorned with gold, or thou mount a ladder right into the skies. No, we shall not even believe in thy mounting until thou send down to us a book that we could read."" Say: ""Glory to my Lord! Am I aught but a man,- a messenger?""","And I have heard of thee, that thou canst make interpretations, and dissolve doubts: now if thou canst read the writing, and make known to me the interpretation thereof, thou shalt be clothed with scarlet, and have a chain of gold about thy neck, and shalt be the third ruler in the kingdom."
 0.9098,"What kept men back from belief when Guidance came to them, was nothing but this: they said, ""Has Allah sent a man (like us) to be (His) Messenger?""","Our fathers did eat manna in the desert; as it is written, He gave them bread from heaven to eat."
 0.9176,"Say, ""If there were settled, on earth, angels walking about in peace and quiet, We should certainly have sent them down from the heavens an angel for a messenger.""","And God set them in the firmament of the heaven to give light upon the earth,"
 0.9339,"Say: ""Enough is Allah for a witness between me and you: for He is well acquainted with His servants, and He sees (all things).","And when Felix heard these things, having more perfect knowledge of that way, he deferred them, and said, When Lysias the chief captain shall come down, I will know the uttermost of your matter."
 0.9602,"It is he whom Allah guides, that is on true Guidance; but he whom He leaves astray - for such wilt thou find no protector besides Him. On the Day of Judgment We shall gather, them together, prone on their faces, blind, dumb, and deaf: their abode will be Hell: every time it shows abatement, We shall increase from them the fierceness of the Fire.","And it shall be unto them as a false divination in their sight, to them that have sworn oaths: but he will call to remembrance the iniquity, that they may be taken."
 0.9172,"That is their recompense, because they rejected Our signs, and said, ""When we are reduced to bones and broken dust, should we really be raised up (to be) a new Creation?""","Which did eat the fat of their sacrifices, and drank the wine of their drink offerings? let them rise up and help you, and be your protection."
 0.9422,"See they not that Allah, Who created the heavens and the earth, has power to create the like of them (anew)? Only He has decreed a term appointed, of which there is no doubt. But the unjust refuse (to receive it) except with ingratitude.","God shall hear, and afflict them, even he that abideth of old. Selah. Because they have no changes, therefore they fear not God."
 0.9416,"Say: ""If ye had control of the Treasures of the Mercy of my Lord, behold, ye would keep them back, for fear of spending them: for man is (every) niggardly!""","The LORD will enter into judgment with the ancients of his people, and the princes thereof: for ye have eaten up the vineyard; the spoil of the poor is in your houses."
 0.9384,"To Moses We did give Nine Clear Signs: As the Children of Israel: when he came to them, Pharaoh said to him: ""O Moses! I consider thee, indeed, to have been worked upon by sorcery!","And Jeroboam said to his wife, Arise, I pray thee, and disguise thyself, that thou be not known to be the wife of Jeroboam; and get thee to Shiloh: behold, there is Ahijah the prophet, which told me that I should be king over this people."
 0.9434,"Moses said, ""Thou knowest well that these things have been sent down by none but the Lord of the heavens and the earth as eye-opening evidence: and I consider thee indeed, O Pharaoh, to be one doomed to destruction!""","Even the prophet Jeremiah said, Amen: the LORD do so: the LORD perform thy words which thou hast prophesied, to bring again the vessels of the LORD's house, and all that is carried away captive, from Babylon into this place."
 0.9348,So he resolved to remove them from the face of the earth: but We did drown him and all who were with him.,"And they answered the king, The man that consumed us, and that devised against us that we should be destroyed from remaining in any of the coasts of Israel,"
 0.9454,"And We said thereafter to the Children of Israel, ""Dwell securely in the land (of promise)"": but when the second of the warnings came to pass, We gathered you together in a mingled crowd.","And they spake unto all the company of the children of Israel, saying, The land, which we passed through to search it, is an exceeding good land."
 0.9421,"We sent down the (Qur'an) in Truth, and in Truth has it descended: and We sent thee but to give Glad Tidings and to warn (sinners).","Men and brethren, this scripture must needs have been fulfilled, which the Holy Ghost by the mouth of David spake before concerning Judas, which was guide to them that took Jesus."
 0.9280,"(It is) a Qur'an which We have divided (into parts from time to time), in order that thou mightest recite it to men at intervals: We have revealed it by stages.","Wherein was written, It is reported among the heathen, and Gashmu saith it, that thou and the Jews think to rebel: for which cause thou buildest the wall, that thou mayest be their king, according to these words."
 0.9266,"Say: ""Whether ye believe in it or not, it is true that those who were given knowledge beforehand, when it is recited to them, fall down on their faces in humble prostration,","But now, after that ye have known God, or rather are known of God, how turn ye again to the weak and beggarly elements, whereunto ye desire again to be in bondage?"
 0.9088,"""And they say: 'Glory to our Lord! Truly has the promise of our Lord been fulfilled!'""","Yea, they shall sing in the ways of the LORD: for great is the glory of the LORD."
 0.9078,"They fall down on their faces in tears, and it increases their (earnest) humility.","They stoop, they bow down together; they could not deliver the burden, but themselves are gone into captivity."
 0.9344,"Say: ""Call upon Allah, or call upon Rahman: by whatever name ye call upon Him, (it is well): for to Him belong the Most Beautiful Names. Neither speak thy Prayer aloud, nor speak it in a low tone, but seek a middle course between.""","Sing unto God, sing praises to his name: extol him that rideth upon the heavens by his name JAH, and rejoice before him."
 0.9268,"Say: ""Praise be to Allah, who begets no son, and has no partner in (His) dominion: Nor (needs) He any to protect Him from humiliation: yea, magnify Him for His greatness and glory!""","Sing unto God, sing praises to his name: extol him that rideth upon the heavens by his name JAH, and rejoice before him."
 0.9246,"Praise be to Allah, Who hath sent to His Servant the Book, and hath allowed therein no Crookedness:","Know now that there shall fall unto the earth nothing of the word of the LORD, which the LORD spake concerning the house of Ahab: for the LORD hath done that which he spake by his servant Elijah."
 0.9581,"(He hath made it) Straight (and Clear) in order that He may warn (the godless) of a terrible Punishment from Him, and that He may give Glad Tidings to the Believers who work righteous deeds, that they shall have a goodly Reward,","The Spirit of the Lord GOD is upon me; because the LORD hath anointed me to preach good tidings unto the meek; he hath sent me to bind up the brokenhearted, to proclaim liberty to the captives, and the opening of the prison to them that are bound;"
 0.9320,Wherein they shall remain for ever:,"(For the redemption of their soul is precious, and it ceaseth for ever:)"
 0.9263,"Further, that He may warn those (also) who say, ""Allah hath begotten a son"":","When ye therefore shall see the abomination of desolation, spoken of by Daniel the prophet, stand in the holy place, (whoso readeth, let him understand:)"
 0.8607,"No knowledge have they of such a thing, nor had their fathers. It is a grievous thing that issues from their mouths as a saying what they say is nothing but falsehood!","Were they ashamed when they had committed abomination? nay, they were not at all ashamed, neither could they blush: therefore shall they fall among them that fall: in the time of their visitation they shall be cast down, saith the LORD."
 0.9395,"Thou wouldst only, perchance, fret thyself to death, following after them, in grief, if they believe not in this Message.","Thou hast indeed smitten Edom, and thine heart hath lifted thee up: glory of this, and tarry at home: for why shouldest thou meddle to thy hurt, that thou shouldest fall, even thou, and Judah with thee?"
 0.9356,"That which is on earth we have made but as a glittering show for the earth, in order that We may test them - as to which of them are best in conduct.","And these things, brethren, I have in a figure transferred to myself and to Apollos for your sakes; that ye might learn in us not to think of men above that which is written, that no one of you be puffed up for one against another."
 0.9403,Verily what is on earth we shall make but as dust and dry soil (without growth or herbage).,"And fields shall be bought in this land, whereof ye say, It is desolate without man or beast; it is given into the hand of the Chaldeans."
 0.9376,Or dost thou reflect that the Companions of the Cave and of the Inscription were wonders among Our Sign?,"The burden of the valley of vision. What aileth thee now, that thou art wholly gone up to the housetops?"
 0.9498,"Behold, the youths betook themselves to the Cave: they said, ""Our Lord! bestow on us Mercy from Thyself, and dispose of our affair for us in the right way!""","And Jonathan said to the young man that bare his armor, Come, and let us go over unto the garrison of these uncircumcised: it may be that the LORD will work for us: for there is no restraint to the LORD to save by many or by few."
 0.9199,"Then We draw (a veil) over their ears, for a number of years, in the Cave, (so that they heard not):","Because, even because they have seduced my people, saying, Peace; and there was no peace; and one built up a wall, and, lo, others daubed it with untempered morter:"
 0.9203,"Then We roused them, in order to test which of the two parties was best at calculating the term of years they had tarried!","Now while Peter doubted in himself what this vision which he had seen should mean, behold, the men which were sent from Cornelius had made enquiry for Simon's house, and stood before the gate,"
 0.9346,"We relate to thee their story in truth: they were youths who believed in their Lord, and We advanced them in guidance:","So being affectionately desirous of you, we were willing to have imparted unto you, not the gospel of God only, but also our own souls, because ye were dear unto us."
 0.9422,"We gave strength to their hearts: Behold, they stood up and said: ""Our Lord is the Lord of the heavens and of the earth: never shall we call upon any god other than Him: if we did, we should indeed have uttered an enormity!","And as soon as we had heard these things, our hearts did melt, neither did there remain any more courage in any man, because of you: for the LORD your God, he is God in heaven above, and in earth beneath."
 0.9425,"""These our people have taken for worship gods other than Him: why do they not bring forward an authority clear (and convincing) for what they do? Who doth more wrong than such as invent a falsehood against Allah?","Have we not all one father? hath not one God created us? why do we deal treacherously every man against his brother, by profaning the covenant of our fathers?"
 0.9405,"""When ye turn away from them and the things they worship other than Allah, betake yourselves to the Cave: Your Lord will shower His mercies on you and disposes of your affair towards comfort and ease.""","To preach the gospel in the regions beyond you, and not to boast in another man's line of things made ready to our hand."
 0.9399,"Thou wouldst have seen the sun, when it rose, declining to the right from their Cave, and when it set, turning away from them to the left, while they lay in the open space in the midst of the Cave. Such are among the Signs of Allah: He whom Allah, guides is rightly guided; but he whom Allah leaves to stray,- for him wilt thou find no protector to lead him to the Right Way.","When the heaven is shut up, and there is no rain, because they have sinned against thee; yet if they pray toward this place, and confess thy name, and turn from their sin, when thou dost afflict them;"
 0.9326,"Thou wouldst have deemed them awake, whilst they were asleep, and We turned them on their right and on their left sides: their dog stretching forth his two fore-legs on the threshold: if thou hadst come up on to them, thou wouldst have certainly turned back from them in flight, and wouldst certainly have been filled with terror of them.","When they took hold of thee by thy hand, thou didst break, and rend all their shoulder: and when they leaned upon thee, thou brakest, and madest all their loins to be at a stand."
 0.9111,"Such (being their state), we raised them up (from sleep), that they might question each other. Said one of them, ""How long have ye stayed (here)?"" They said, ""We have stayed (perhaps) a day, or part of a day."" (At length) they (all) said, ""Allah (alone) knows best how long ye have stayed here.... Now send ye then one of you with this money of yours to the town: let him find out which is the best food (to be had) and bring some to you, that (ye may) satisfy your hunger therewith: And let him behave with care and courtesy, and let him not inform any one about you.","Wherefore our elders and all the inhabitants of our country spake to us, saying, Take victuals with you for the journey, and go to meet them, and say unto them, We are your servants: therefore now make ye a league with us."
 0.9121,"""For if they should come upon you, they would stone you or force you to return to their cult, and in that case ye would never attain prosperity.""","For if ye turn away from after him, he will yet again leave them in the wilderness; and ye shall destroy all this people."
 0.9260,"Thus did We make their case known to the people, that they might know that the promise of Allah is true, and that there can be no doubt about the Hour of Judgment. Behold, they dispute among themselves as to their affair. (Some) said, ""Construct a building over them"": Their Lord knows best about them: those who prevailed over their affair said, ""Let us surely build a place of worship over them.""","And there arose a great cry: and the scribes that were of the Pharisees' part arose, and strove, saying, We find no evil in this man: but if a spirit or an angel hath spoken to him, let us not fight against God."
 0.9299,"(Some) say they were three, the dog being the fourth among them; (others) say they were five, the dog being the sixth,- doubtfully guessing at the unknown; (yet others) say they were seven, the dog being the eighth. Say thou: ""My Lord knoweth best their number; It is but few that know their (real case)."" Enter not, therefore, into controversies concerning them, except on a matter that is clear, nor consult any of them about (the affair of) the Sleepers.","Then certain philosophers of the Epicureans, and of the Stoicks, encountered him. And some said, What will this babbler say? other some, He seemeth to be a setter forth of strange gods: because he preached unto them Jesus, and the resurrection."
 0.9222,"Nor say of anything, ""I shall be sure to do so and so tomorrow""-","If I say, I will forget my complaint, I will leave off my heaviness, and comfort myself:"
 0.9314,"Without adding, ""So please Allah!"" and call thy Lord to mind when thou forgettest, and say, ""I hope that my Lord will guide me ever closer (even) than this to the right road.""","Let my lord, I pray thee, pass over before his servant: and I will lead on softly, according as the cattle that goeth before me and the children be able to endure, until I come unto my lord unto Seir."
 0.9057,"So they stayed in their Cave three hundred years, and (some) add nine (more)",And the whole assembly took counsel to keep other seven days: and they kept other seven days with gladness.
 0.9122,"Say: ""Allah knows best how long they stayed: with Him is (the knowledge of) the secrets of the heavens and the earth: how clearly He sees, how finely He hears (everything)! They have no protector other than Him; nor does He share His Command with any person whatsoever.","All the king's servants, and the people of the king's provinces, do know, that whosoever, whether man or women, shall come unto the king into the inner court, who is not called, there is one law of his to put him to death, except such to whom the king shall hold out the golden sceptre, that he may live: but I have not been called to come in unto the king these thirty days."
 0.9484,"And recite (and teach) what has been revealed to thee of the Book of thy Lord: none can change His Words, and none wilt thou find as a refuge other than Him.","The LORD shall establish thee an holy people unto himself, as he hath sworn unto thee, if thou shalt keep the commandments of the LORD thy God, and walk in his ways."
 0.9506,"And keep thy soul content with those who call on their Lord morning and evening, seeking His Face; and let not thine eyes pass beyond them, seeking the pomp and glitter of this Life; no obey any whose heart We have permitted to neglect the remembrance of Us, one who follows his own desires, whose case has gone beyond all bounds.","Hearken unto me, ye that know righteousness, the people in whose heart is my law; fear ye not the reproach of men, neither be ye afraid of their revilings."
