 1.0000,In the beginning God created the heaven and the earth.,In the beginning God created the heaven and the earth.
 1.0000,"In the year of the jubilee the field shall return unto him of whom it was bought, even to him to whom the possession of the land did belong.","In the year of the jubilee the field shall return unto him of whom it was bought, even to him to whom the possession of the land did belong."
 1.0000,And all thy estimations shall be according to the shekel of the sanctuary: twenty gerahs shall be the shekel.,And all thy estimations shall be according to the shekel of the sanctuary: twenty gerahs shall be the shekel.
 1.0000,"Only the firstling of the beasts, which should be the LORD's firstling, no man shall sanctify it; whether it be ox, or sheep: it is the LORD's.","Only the firstling of the beasts, which should be the LORD's firstling, no man shall sanctify it; whether it be ox, or sheep: it is the LORD's."
 1.0000,"And if it be of an unclean beast, then he shall redeem it according to thine estimation, and shall add a fifth part of it thereto: or if it be not redeemed, then it shall be sold according to thy estimation.","And if it be of an unclean beast, then he shall redeem it according to thine estimation, and shall add a fifth part of it thereto: or if it be not redeemed, then it shall be sold according to thy estimation."
 1.0000,"Notwithstanding no devoted thing, that a man shall devote unto the LORD of all that he hath, both of man and beast, and of the field of his possession, shall be sold or redeemed: every devoted thing is most holy unto the LORD.","Notwithstanding no devoted thing, that a man shall devote unto the LORD of all that he hath, both of man and beast, and of the field of his possession, shall be sold or redeemed: every devoted thing is most holy unto the LORD."
 1.0000,"None devoted, which shall be devoted of men, shall be redeemed; but shall surely be put to death.","None devoted, which shall be devoted of men, shall be redeemed; but shall surely be put to death."
 1.0000,"And all the tithe of the land, whether of the seed of the land, or of the fruit of the tree, is the LORD's: it is holy unto the LORD.","And all the tithe of the land, whether of the seed of the land, or of the fruit of the tree, is the LORD's: it is holy unto the LORD."
 1.0000,"And if a man will at all redeem ought of his tithes, he shall add thereto the fifth part thereof.","And if a man will at all redeem ought of his tithes, he shall add thereto the fifth part thereof."
 1.0000,"And concerning the tithe of the herd, or of the flock, even of whatsoever passeth under the rod, the tenth shall be holy unto the LORD.","And concerning the tithe of the herd, or of the flock, even of whatsoever passeth under the rod, the tenth shall be holy unto the LORD."
 1.0000,"He shall not search whether it be good or bad, neither shall he change it: and if he change it at all, then both it and the change thereof shall be holy; it shall not be redeemed.","He shall not search whether it be good or bad, neither shall he change it: and if he change it at all, then both it and the change thereof shall be holy; it shall not be redeemed."
 1.0000,"These are the commandments, which the LORD commanded Moses for the children of Israel in mount Sinai.","These are the commandments, which the LORD commanded Moses for the children of Israel in mount Sinai."
 1.0000,"And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,","And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,"
 1.0000,"Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;","Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;"
 1.0000,"From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.","From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies."
 1.0000,And with you there shall be a man of every tribe; every one head of the house of his fathers.,And with you there shall be a man of every tribe; every one head of the house of his fathers.
 1.0000,And these are the names of the men that shall stand with you: of the tribe of Reuben; Elizur the son of Shedeur.,And these are the names of the men that shall stand with you: of the tribe of Reuben; Elizur the son of Shedeur.
 1.0000,Of Simeon; Shelumiel the son of Zurishaddai.,Of Simeon; Shelumiel the son of Zurishaddai.
 1.0000,Of Judah; Nahshon the son of Amminadab.,Of Judah; Nahshon the son of Amminadab.
 1.0000,Of Issachar; Nethaneel the son of Zuar.,Of Issachar; Nethaneel the son of Zuar.
 1.0000,Of Zebulun; Eliab the son of Helon.,Of Zebulun; Eliab the son of Helon.
 1.0000,Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.,Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.
 1.0000,Of Benjamin; Abidan the son of Gideoni.,Of Benjamin; Abidan the son of Gideoni.
 1.0000,Of Dan; Ahiezer the son of Ammishaddai.,Of Dan; Ahiezer the son of Ammishaddai.
 1.0000,Of Asher; Pagiel the son of Ocran.,Of Asher; Pagiel the son of Ocran.
 1.0000,Of Gad; Eliasaph the son of Deuel.,Of Gad; Eliasaph the son of Deuel.
 1.0000,Of Naphtali; Ahira the son of Enan.,Of Naphtali; Ahira the son of Enan.
 1.0000,"These were the renowned of the congregation, princes of the tribes of their fathers, heads of thousands in Israel.","These were the renowned of the congregation, princes of the tribes of their fathers, heads of thousands in Israel."
 1.0000,And Moses and Aaron took these men which are expressed by their names:,And Moses and Aaron took these men which are expressed by their names:
 1.0000,"And they assembled all the congregation together on the first day of the second month, and they declared their pedigrees after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, by their polls.","And they assembled all the congregation together on the first day of the second month, and they declared their pedigrees after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, by their polls."
 1.0000,"As the LORD commanded Moses, so he numbered them in the wilderness of Sinai.","As the LORD commanded Moses, so he numbered them in the wilderness of Sinai."
 1.0000,"And the children of Reuben, Israel's eldest son, by their generations, after their families, by the house of their fathers, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;","And the children of Reuben, Israel's eldest son, by their generations, after their families, by the house of their fathers, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Reuben, were forty and six thousand and five hundred.","Those that were numbered of them, even of the tribe of Reuben, were forty and six thousand and five hundred."
 1.0000,"Of the children of Simeon, by their generations, after their families, by the house of their fathers, those that were numbered of them, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;","Of the children of Simeon, by their generations, after their families, by the house of their fathers, those that were numbered of them, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Simeon, were fifty and nine thousand and three hundred.","Those that were numbered of them, even of the tribe of Simeon, were fifty and nine thousand and three hundred."
 1.0000,"Of the children of Gad, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Of the children of Gad, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Gad, were forty and five thousand six hundred and fifty.","Those that were numbered of them, even of the tribe of Gad, were forty and five thousand six hundred and fifty."
 1.0000,"Of the children of Judah, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Of the children of Judah, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Judah, were threescore and fourteen thousand and six hundred.","Those that were numbered of them, even of the tribe of Judah, were threescore and fourteen thousand and six hundred."
 1.0000,"Of the children of Issachar, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Of the children of Issachar, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Issachar, were fifty and four thousand and four hundred.","Those that were numbered of them, even of the tribe of Issachar, were fifty and four thousand and four hundred."
 1.0000,"Of the children of Zebulun, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Of the children of Zebulun, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Zebulun, were fifty and seven thousand and four hundred.","Those that were numbered of them, even of the tribe of Zebulun, were fifty and seven thousand and four hundred."
 1.0000,"Of the children of Joseph, namely, of the children of Ephraim, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Of the children of Joseph, namely, of the children of Ephraim, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Ephraim, were forty thousand and five hundred.","Those that were numbered of them, even of the tribe of Ephraim, were forty thousand and five hundred."
 1.0000,"Of the children of Manasseh, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Of the children of Manasseh, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Manasseh, were thirty and two thousand and two hundred.","Those that were numbered of them, even of the tribe of Manasseh, were thirty and two thousand and two hundred."
 1.0000,"Of the children of Benjamin, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Of the children of Benjamin, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Benjamin, were thirty and five thousand and four hundred.","Those that were numbered of them, even of the tribe of Benjamin, were thirty and five thousand and four hundred."
 1.0000,"Of the children of Dan, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Of the children of Dan, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Dan, were threescore and two thousand and seven hundred.","Those that were numbered of them, even of the tribe of Dan, were threescore and two thousand and seven hundred."
 1.0000,"Of the children of Asher, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Of the children of Asher, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Asher, were forty and one thousand and five hundred.","Those that were numbered of them, even of the tribe of Asher, were forty and one thousand and five hundred."
 1.0000,"Of the children of Naphtali, throughout their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;","Of the children of Naphtali, throughout their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;"
 1.0000,"Those that were numbered of them, even of the tribe of Naphtali, were fifty and three thousand and four hundred.","Those that were numbered of them, even of the tribe of Naphtali, were fifty and three thousand and four hundred."
 1.0000,"These are those that were numbered, which Moses and Aaron numbered, and the princes of Israel, being twelve men: each one was for the house of his fathers.","These are those that were numbered, which Moses and Aaron numbered, and the princes of Israel, being twelve men: each one was for the house of his fathers."
 1.0000,"So were all those that were numbered of the children of Israel, by the house of their fathers, from twenty years old and upward, all that were able to go forth to war in Israel;","So were all those that were numbered of the children of Israel, by the house of their fathers, from twenty years old and upward, all that were able to go forth to war in Israel;"
 1.0000,Even all they that were numbered were six hundred thousand and three thousand and five hundred and fifty.,Even all they that were numbered were six hundred thousand and three thousand and five hundred and fifty.
 1.0000,But the Levites after the tribe of their fathers were not numbered among them.,But the Levites after the tribe of their fathers were not numbered among them.
 1.0000,"For the LORD had spoken unto Moses, saying,","For the LORD had spoken unto Moses, saying,"
 1.0000,"Only thou shalt not number the tribe of Levi, neither take the sum of them among the children of Israel:","Only thou shalt not number the tribe of Levi, neither take the sum of them among the children of Israel:"
 1.0000,"But thou shalt appoint the Levites over the tabernacle of testimony, and over all the vessels thereof, and over all things that belong to it: they shall bear the tabernacle, and all the vessels thereof; and they shall minister unto it, and shall encamp round about the tabernacle.","But thou shalt appoint the Levites over the tabernacle of testimony, and over all the vessels thereof, and over all things that belong to it: they shall bear the tabernacle, and all the vessels thereof; and they shall minister unto it, and shall encamp round about the tabernacle."
 1.0000,"And when the tabernacle setteth forward, the Levites shall take it down: and when the tabernacle is to be pitched, the Levites shall set it up: and the stranger that cometh nigh shall be put to death.","And when the tabernacle setteth forward, the Levites shall take it down: and when the tabernacle is to be pitched, the Levites shall set it up: and the stranger that cometh nigh shall be put to death."
 1.0000,"And the children of Israel shall pitch their tents, every man by his own camp, and every man by his own standard, throughout their hosts.","And the children of Israel shall pitch their tents, every man by his own camp, and every man by his own standard, throughout their hosts."
 1.0000,"But the Levites shall pitch round about the tabernacle of testimony, that there be no wrath upon the congregation of the children of Israel: and the Levites shall keep the charge of the tabernacle of testimony.","But the Levites shall pitch round about the tabernacle of testimony, that there be no wrath upon the congregation of the children of Israel: and the Levites shall keep the charge of the tabernacle of testimony."
 1.0000,"And the children of Israel did according to all that the LORD commanded Moses, so did they.","And the children of Israel did according to all that the LORD commanded Moses, so did they."
 1.0000,"And the LORD spake unto Moses and unto Aaron, saying,","And the LORD spake unto Moses and unto Aaron, saying,"
 1.0000,"Every man of the children of Israel shall pitch by his own standard, with the ensign of their father's house: far off about the tabernacle of the congregation shall they pitch.","Every man of the children of Israel shall pitch by his own standard, with the ensign of their father's house: far off about the tabernacle of the congregation shall they pitch."
 1.0000,And on the east side toward the rising of the sun shall they of the standard of the camp of Judah pitch throughout their armies: and Nahshon the son of Amminadab shall be captain of the children of Judah.,And on the east side toward the rising of the sun shall they of the standard of the camp of Judah pitch throughout their armies: and Nahshon the son of Amminadab shall be captain of the children of Judah.
 1.0000,"And his host, and those that were numbered of them, were threescore and fourteen thousand and six hundred.","And his host, and those that were numbered of them, were threescore and fourteen thousand and six hundred."
 1.0000,And those that do pitch next unto him shall be the tribe of Issachar: and Nethaneel the son of Zuar shall be captain of the children of Issachar.,And those that do pitch next unto him shall be the tribe of Issachar: and Nethaneel the son of Zuar shall be captain of the children of Issachar.
 1.0000,"And his host, and those that were numbered thereof, were fifty and four thousand and four hundred.","And his host, and those that were numbered thereof, were fifty and four thousand and four hundred."
 1.0000,Then the tribe of Zebulun: and Eliab the son of Helon shall be captain of the children of Zebulun.,Then the tribe of Zebulun: and Eliab the son of Helon shall be captain of the children of Zebulun.
 1.0000,"And his host, and those that were numbered thereof, were fifty and seven thousand and four hundred.","And his host, and those that were numbered thereof, were fifty and seven thousand and four hundred."
 1.0000,"All that were numbered in the camp of Judah were an hundred thousand and fourscore thousand and six thousand and four hundred, throughout their armies. These shall first set forth.","All that were numbered in the camp of Judah were an hundred thousand and fourscore thousand and six thousand and four hundred, throughout their armies. These shall first set forth."
 1.0000,On the south side shall be the standard of the camp of Reuben according to their armies: and the captain of the children of Reuben shall be Elizur the son of Shedeur.,On the south side shall be the standard of the camp of Reuben according to their armies: and the captain of the children of Reuben shall be Elizur the son of Shedeur.
 1.0000,"And his host, and those that were numbered thereof, were forty and six thousand and five hundred.","And his host, and those that were numbered thereof, were forty and six thousand and five hundred."
 1.0000,And those which pitch by him shall be the tribe of Simeon: and the captain of the children of Simeon shall be Shelumiel the son of Zurishaddai.,And those which pitch by him shall be the tribe of Simeon: and the captain of the children of Simeon shall be Shelumiel the son of Zurishaddai.
 1.0000,"And his host, and those that were numbered of them, were fifty and nine thousand and three hundred.","And his host, and those that were numbered of them, were fifty and nine thousand and three hundred."
 1.0000,Then the tribe of Gad: and the captain of the sons of Gad shall be Eliasaph the son of Reuel.,Then the tribe of Gad: and the captain of the sons of Gad shall be Eliasaph the son of Reuel.
 1.0000,"And his host, and those that were numbered of them, were forty and five thousand and six hundred and fifty.","And his host, and those that were numbered of them, were forty and five thousand and six hundred and fifty."
 1.0000,"All that were numbered in the camp of Reuben were an hundred thousand and fifty and one thousand and four hundred and fifty, throughout their armies. And they shall set forth in the second rank.","All that were numbered in the camp of Reuben were an hundred thousand and fifty and one thousand and four hundred and fifty, throughout their armies. And they shall set forth in the second rank."
 1.0000,"Then the tabernacle of the congregation shall set forward with the camp of the Levites in the midst of the camp: as they encamp, so shall they set forward, every man in his place by their standards.","Then the tabernacle of the congregation shall set forward with the camp of the Levites in the midst of the camp: as they encamp, so shall they set forward, every man in his place by their standards."
 1.0000,On the west side shall be the standard of the camp of Ephraim according to their armies: and the captain of the sons of Ephraim shall be Elishama the son of Ammihud.,On the west side shall be the standard of the camp of Ephraim according to their armies: and the captain of the sons of Ephraim shall be Elishama the son of Ammihud.
 1.0000,"And his host, and those that were numbered of them, were forty thousand and five hundred.","And his host, and those that were numbered of them, were forty thousand and five hundred."
 1.0000,And by him shall be the tribe of Manasseh: and the captain of the children of Manasseh shall be Gamaliel the son of Pedahzur.,And by him shall be the tribe of Manasseh: and the captain of the children of Manasseh shall be Gamaliel the son of Pedahzur.
 1.0000,"And his host, and those that were numbered of them, were thirty and two thousand and two hundred.","And his host, and those that were numbered of them, were thirty and two thousand and two hundred."
 1.0000,Then the tribe of Benjamin: and the captain of the sons of Benjamin shall be Abidan the son of Gideoni.,Then the tribe of Benjamin: and the captain of the sons of Benjamin shall be Abidan the son of Gideoni.
 1.0000,"And his host, and those that were numbered of them, were thirty and five thousand and four hundred.","And his host, and those that were numbered of them, were thirty and five thousand and four hundred."
 1.0000,"All that were numbered of the camp of Ephraim were an hundred thousand and eight thousand and an hundred, throughout their armies. And they shall go forward in the third rank.","All that were numbered of the camp of Ephraim were an hundred thousand and eight thousand and an hundred, throughout their armies. And they shall go forward in the third rank."
 1.0000,The standard of the camp of Dan shall be on the north side by their armies: and the captain of the children of Dan shall be Ahiezer the son of Ammishaddai.,The standard of the camp of Dan shall be on the north side by their armies: and the captain of the children of Dan shall be Ahiezer the son of Ammishaddai.
 1.0000,"And his host, and those that were numbered of them, were threescore and two thousand and seven hundred.","And his host, and those that were numbered of them, were threescore and two thousand and seven hundred."
 1.0000,And those that encamp by him shall be the tribe of Asher: and the captain of the children of Asher shall be Pagiel the son of Ocran.,And those that encamp by him shall be the tribe of Asher: and the captain of the children of Asher shall be Pagiel the son of Ocran.
 1.0000,"And his host, and those that were numbered of them, were forty and one thousand and five hundred.","And his host, and those that were numbered of them, were forty and one thousand and five hundred."
 1.0000,Then the tribe of Naphtali: and the captain of the children of Naphtali shall be Ahira the son of Enan.,Then the tribe of Naphtali: and the captain of the children of Naphtali shall be Ahira the son of Enan.
 1.0000,"And his host, and those that were numbered of them, were fifty and three thousand and four hundred.","And his host, and those that were numbered of them, were fifty and three thousand and four hundred."
 1.0000,All they that were numbered in the camp of Dan were an hundred thousand and fifty and seven thousand and six hundred. They shall go hindmost with their standards.,All they that were numbered in the camp of Dan were an hundred thousand and fifty and seven thousand and six hundred. They shall go hindmost with their standards.
 1.0000,These are those which were numbered of the children of Israel by the house of their fathers: all those that were numbered of the camps throughout their hosts were six hundred thousand and three thousand and five hundred and fifty.,These are those which were numbered of the children of Israel by the house of their fathers: all those that were numbered of the camps throughout their hosts were six hundred thousand and three thousand and five hundred and fifty.
 1.0000,But the Levites were not numbered among the children of Israel; as the LORD commanded Moses.,But the Levites were not numbered among the children of Israel; as the LORD commanded Moses.
 1.0000,"And the children of Israel did according to all that the LORD commanded Moses: so they pitched by their standards, and so they set forward, every one after their families, according to the house of their fathers.","And the children of Israel did according to all that the LORD commanded Moses: so they pitched by their standards, and so they set forward, every one after their families, according to the house of their fathers."
 1.0000,These also are the generations of Aaron and Moses in the day that the LORD spake with Moses in mount Sinai.,These also are the generations of Aaron and Moses in the day that the LORD spake with Moses in mount Sinai.
 1.0000,"And these are the names of the sons of Aaron; Nadab the firstborn, and Abihu, Eleazar, and Ithamar.","And these are the names of the sons of Aaron; Nadab the firstborn, and Abihu, Eleazar, and Ithamar."
 1.0000,"These are the names of the sons of Aaron, the priests which were anointed, whom he consecrated to minister in the priest's office.","These are the names of the sons of Aaron, the priests which were anointed, whom he consecrated to minister in the priest's office."
 1.0000,"And Nadab and Abihu died before the LORD, when they offered strange fire before the LORD, in the wilderness of Sinai, and they had no children: and Eleazar and Ithamar ministered in the priest's office in the sight of Aaron their father.","And Nadab and Abihu died before the LORD, when they offered strange fire before the LORD, in the wilderness of Sinai, and they had no children: and Eleazar and Ithamar ministered in the priest's office in the sight of Aaron their father."
 1.0000,"And the LORD spake unto Moses, saying,","And the LORD spake unto Moses, saying,"
 1.0000,"Bring the tribe of Levi near, and present them before Aaron the priest, that they may minister unto him.","Bring the tribe of Levi near, and present them before Aaron the priest, that they may minister unto him."
 1.0000,"And they shall keep his charge, and the charge of the whole congregation before the tabernacle of the congregation, to do the service of the tabernacle.","And they shall keep his charge, and the charge of the whole congregation before the tabernacle of the congregation, to do the service of the tabernacle."
 1.0000,"And they shall keep all the instruments of the tabernacle of the congregation, and the charge of the children of Israel, to do the service of the tabernacle.","And they shall keep all the instruments of the tabernacle of the congregation, and the charge of the children of Israel, to do the service of the tabernacle."
 1.0000,And thou shalt give the Levites unto Aaron and to his sons: they are wholly given unto him out of the children of Israel.,And thou shalt give the Levites unto Aaron and to his sons: they are wholly given unto him out of the children of Israel.
 1.0000,"And thou shalt appoint Aaron and his sons, and they shall wait on their priest's office: and the stranger that cometh nigh shall be put to death.","And thou shalt appoint Aaron and his sons, and they shall wait on their priest's office: and the stranger that cometh nigh shall be put to death."
 1.0000,"And the LORD spake unto Moses, saying,","And the LORD spake unto Moses, saying,"
 1.0000,"And I, behold, I have taken the Levites from among the children of Israel instead of all the firstborn that openeth the matrix among the children of Israel: therefore the Levites shall be mine;","And I, behold, I have taken the Levites from among the children of Israel instead of all the firstborn that openeth the matrix among the children of Israel: therefore the Levites shall be mine;"
 1.0000,"Because all the firstborn are mine; for on the day that I smote all the firstborn in the land of Egypt I hallowed unto me all the firstborn in Israel, both man and beast: mine shall they be: I am the LORD.","Because all the firstborn are mine; for on the day that I smote all the firstborn in the land of Egypt I hallowed unto me all the firstborn in Israel, both man and beast: mine shall they be: I am the LORD."
 1.0000,"And the LORD spake unto Moses in the wilderness of Sinai, saying,","And the LORD spake unto Moses in the wilderness of Sinai, saying,"
 1.0000,"Number the children of Levi after the house of their fathers, by their families: every male from a month old and upward shalt thou number them.","Number the children of Levi after the house of their fathers, by their families: every male from a month old and upward shalt thou number them."
 1.0000,"And Moses numbered them according to the word of the LORD, as he was commanded.","And Moses numbered them according to the word of the LORD, as he was commanded."
 1.0000,"And these were the sons of Levi by their names; Gershon, and Kohath, and Merari.","And these were the sons of Levi by their names; Gershon, and Kohath, and Merari."
 1.0000,"And these are the names of the sons of Gershon by their families; Libni, and Shimei.","And these are the names of the sons of Gershon by their families; Libni, and Shimei."
 1.0000,"And the sons of Kohath by their families; Amram, and Izehar, Hebron, and Uzziel.","And the sons of Kohath by their families; Amram, and Izehar, Hebron, and Uzziel."
 1.0000,"And the sons of Merari by their families; Mahli, and Mushi. These are the families of the Levites according to the house of their fathers.","And the sons of Merari by their families; Mahli, and Mushi. These are the families of the Levites according to the house of their fathers."
 1.0000,"Of Gershon was the family of the Libnites, and the family of the Shimites: these are the families of the Gershonites.","Of Gershon was the family of the Libnites, and the family of the Shimites: these are the families of the Gershonites."
 1.0000,"Those that were numbered of them, according to the number of all the males, from a month old and upward, even those that were numbered of them were seven thousand and five hundred.","Those that were numbered of them, according to the number of all the males, from a month old and upward, even those that were numbered of them were seven thousand and five hundred."
 1.0000,The families of the Gershonites shall pitch behind the tabernacle westward.,The families of the Gershonites shall pitch behind the tabernacle westward.
 1.0000,And the chief of the house of the father of the Gershonites shall be Eliasaph the son of Lael.,And the chief of the house of the father of the Gershonites shall be Eliasaph the son of Lael.
 1.0000,"And the charge of the sons of Gershon in the tabernacle of the congregation shall be the tabernacle, and the tent, the covering thereof, and the hanging for the door of the tabernacle of the congregation,","And the charge of the sons of Gershon in the tabernacle of the congregation shall be the tabernacle, and the tent, the covering thereof, and the hanging for the door of the tabernacle of the congregation,"
 1.0000,"And the hangings of the court, and the curtain for the door of the court, which is by the tabernacle, and by the altar round about, and the cords of it for all the service thereof.","And the hangings of the court, and the curtain for the door of the court, which is by the tabernacle, and by the altar round about, and the cords of it for all the service thereof."
 1.0000,"And of Kohath was the family of the Amramites, and the family of the Izeharites, and the family of the Hebronites, and the family of the Uzzielites: these are the families of the Kohathites.","And of Kohath was the family of the Amramites, and the family of the Izeharites, and the family of the Hebronites, and the family of the Uzzielites: these are the families of the Kohathites."
 1.0000,"In the number of all the males, from a month old and upward, were eight thousand and six hundred, keeping the charge of the sanctuary.","In the number of all the males, from a month old and upward, were eight thousand and six hundred, keeping the charge of the sanctuary."
 1.0000,The families of the sons of Kohath shall pitch on the side of the tabernacle southward.,The families of the sons of Kohath shall pitch on the side of the tabernacle southward.
 1.0000,And the chief of the house of the father of the families of the Kohathites shall be Elizaphan the son of Uzziel.,And the chief of the house of the father of the families of the Kohathites shall be Elizaphan the son of Uzziel.
 1.0000,"And their charge shall be the ark, and the table, and the candlestick, and the altars, and the vessels of the sanctuary wherewith they minister, and the hanging, and all the service thereof.","And their charge shall be the ark, and the table, and the candlestick, and the altars, and the vessels of the sanctuary wherewith they minister, and the hanging, and all the service thereof."
 1.0000,"And Eleazar the son of Aaron the priest shall be chief over the chief of the Levites, and have the oversight of them that keep the charge of the sanctuary.","And Eleazar the son of Aaron the priest shall be chief over the chief of the Levites, and have the oversight of them that keep the charge of the sanctuary."
 1.0000,"Of Merari was the family of the Mahlites, and the family of the Mushites: these are the families of Merari.","Of Merari was the family of the Mahlites, and the family of the Mushites: these are the families of Merari."
 1.0000,"And those that were numbered of them, according to the number of all the males, from a month old and upward, were six thousand and two hundred.","And those that were numbered of them, according to the number of all the males, from a month old and upward, were six thousand and two hundred."
 1.0000,And the chief of the house of the father of the families of Merari was Zuriel the son of Abihail: these shall pitch on the side of the tabernacle northward.,And the chief of the house of the father of the families of Merari was Zuriel the son of Abihail: these shall pitch on the side of the tabernacle northward.
 1.0000,"And under the custody and charge of the sons of Merari shall be the boards of the tabernacle, and the bars thereof, and the pillars thereof, and the sockets thereof, and all the vessels thereof, and all that serveth thereto,","And under the custody and charge of the sons of Merari shall be the boards of the tabernacle, and the bars thereof, and the pillars thereof, and the sockets thereof, and all the vessels thereof, and all that serveth thereto,"
 1.0000,"And the pillars of the court round about, and their sockets, and their pins, and their cords.","And the pillars of the court round about, and their sockets, and their pins, and their cords."
 1.0000,"But those that encamp before the tabernacle toward the east, even before the tabernacle of the congregation eastward, shall be Moses, and Aaron and his sons, keeping the charge of the sanctuary for the charge of the children of Israel; and the stranger that cometh nigh shall be put to death.","But those that encamp before the tabernacle toward the east, even before the tabernacle of the congregation eastward, shall be Moses, and Aaron and his sons, keeping the charge of the sanctuary for the charge of the children of Israel; and the stranger that cometh nigh shall be put to death."
 1.0000,"All that were numbered of the Levites, which Moses and Aaron numbered at the commandment of the LORD, throughout their families, all the males from a month old and upward, were twenty and two thousand.","All that were numbered of the Levites, which Moses and Aaron numbered at the commandment of the LORD, throughout their families, all the males from a month old and upward, were twenty and two thousand."
 1.0000,"And the LORD said unto Moses, Number all the firstborn of the males of the children of Israel from a month old and upward, and take the number of their names.","And the LORD said unto Moses, Number all the firstborn of the males of the children of Israel from a month old and upward, and take the number of their names."
 1.0000,And thou shalt take the Levites for me (I am the LORD) instead of all the firstborn among the children of Israel; and the cattle of the Levites instead of all the firstlings among the cattle of the children of Israel.,And thou shalt take the Levites for me (I am the LORD) instead of all the firstborn among the children of Israel; and the cattle of the Levites instead of all the firstlings among the cattle of the children of Israel.
 1.0000,"And Moses numbered, as the LORD commanded him, all the firstborn among the children of Israel.","And Moses numbered, as the LORD commanded him, all the firstborn among the children of Israel."
 1.0000,"And all the firstborn males by the number of names, from a month old and upward, of those that were numbered of them, were twenty and two thousand two hundred and threescore and thirteen.","And all the firstborn males by the number of names, from a month old and upward, of those that were numbered of them, were twenty and two thousand two hundred and threescore and thirteen."
 1.0000,"And the LORD spake unto Moses, saying,","And the LORD spake unto Moses, saying,"
 1.0000,"Take the Levites instead of all the firstborn among the children of Israel, and the cattle of the Levites instead of their cattle; and the Levites shall be mine: I am the LORD.","Take the Levites instead of all the firstborn among the children of Israel, and the cattle of the Levites instead of their cattle; and the Levites shall be mine: I am the LORD."
