 0.9243,In the beginning God created the heaven and the earth.,A revelation from Him Who created the earth and the heavens on high.
 0.9384,"And the LORD said unto Moses, Go, get thee down; for thy people, which thou broughtest out of the land of Egypt, have corrupted themselves:","So We sent this inspiration to the mother of Moses: ""Suckle (thy child), but when thou hast fears about him, cast him into the river, but fear not nor grieve: for We shall restore him to thee, and We shall make him one of Our messengers."""
 0.9422,"They have turned aside quickly out of the way which I commanded them: they have made them a molten calf, and have worshipped it, and have sacrificed thereunto, and said, These be thy gods, O Israel, which have brought thee up out of the land of Egypt.","Said the chiefs of Pharaoh's people: ""Wilt thou leave Moses and his people, to spread mischief in the land, and to abandon thee and thy gods?"" He said: ""Their male children will we slay; (only) their females will we save alive; and we have over them (power) irresistible."""
 0.9196,"And the LORD said unto Moses, I have seen this people, and, behold, it is a stiffnecked people:","To Moses We did give Nine Clear Signs: As the Children of Israel: when he came to them, Pharaoh said to him: ""O Moses! I consider thee, indeed, to have been worked upon by sorcery!"
 0.9196,"Now therefore let me alone, that my wrath may wax hot against them, and that I may consume them: and I will make of thee a great nation.","So he smiled, amused at her speech; and he said: ""O my Lord! so order me that I may be grateful for Thy favours, which thou hast bestowed on me and on my parents, and that I may work the righteousness that will please Thee: And admit me, by Thy Grace, to the ranks of Thy righteous Servants."""
 0.9328,"And Moses besought the LORD his God, and said, LORD, why doth thy wrath wax hot against thy people, which thou hast brought forth out of the land of Egypt with great power, and with a mighty hand?","And Moses chose seventy of his people for Our place of meeting: when they were seized with violent quaking, he prayed: ""O my Lord! if it had been Thy will Thou couldst have destroyed, long before, both them and me: wouldst Thou destroy us for the deeds of the foolish ones among us? this is no more than Thy trial: by it Thou causest whom Thou wilt to stray, and Thou leadest whom Thou wilt into the right path. Thou art our Protector: so forgive us and give us Thy mercy; for Thou art the best of those who forgive."
 0.9239,"Wherefore should the Egyptians speak, and say, For mischief did he bring them out, to slay them in the mountains, and to consume them from the face of the earth? Turn from thy fierce wrath, and repent of this evil against thy people.","So by deceit he brought about their fall: when they tasted of the tree, their shame became manifest to them, and they began to sew together the leaves of the garden over their bodies. And their Lord called unto them: ""Did I not forbid you that tree, and tell you that Satan was an avowed enemy unto you?"""
 0.9557,"Remember Abraham, Isaac, and Israel, thy servants, to whom thou swarest by thine own self, and saidst unto them, I will multiply your seed as the stars of heaven, and all this land that I have spoken of will I give unto your seed, and they shall inherit it for ever.","""And grant, our Lord! that they enter the Gardens of Eternity, which Thou hast promised to them, and to the righteous among their fathers, their wives, and their posterity! For Thou art (He), the Exalted in Might, Full of Wisdom."
 0.9194,And the LORD repented of the evil which he thought to do unto his people.,"Behold! thy Lord did declare that He would send against them, to the Day of Judgment, those who would afflict them with grievous penalty. Thy Lord is quick in retribution, but He is also Oft-forgiving, Most Merciful."
 0.9146,"And Moses turned, and went down from the mount, and the two tables of the testimony were in his hand: the tables were written on both their sides; on the one side and on the other were they written.","When the anger of Moses was appeased, he took up the tablets: in the writing thereon was guidance and Mercy for such as fear their Lord."
 0.9192,"And the tables were the work of God, and the writing was the writing of God, graven upon the tables.","Blessed is He Who made constellations in the skies, and placed therein a Lamp and a Moon giving light;"
 0.8763,"And when Joshua heard the noise of the people as they shouted, he said unto Moses, There is a noise of war in the camp.","Now when Moses had fulfilled the term, and was travelling with his family, he perceived a fire in the direction of Mount Tur. He said to his family: ""Tarry ye; I perceive a fire; I hope to bring you from there some information, or a burning firebrand, that ye may warm yourselves."""
 0.8620,"And he said, It is not the voice of them that shout for mastery, neither is it the voice of them that cry for being overcome: but the noise of them that sing do I hear.",For Him (alone) is prayer in Truth: any others that they call upon besides Him hear them no more than if they were to stretch forth their hands for water to reach their mouths but it reaches them not: for the prayer of those without Faith is nothing but (futile) wandering (in the mind).
 0.9082,"And it came to pass, as soon as he came nigh unto the camp, that he saw the calf, and the dancing: and Moses' anger waxed hot, and he cast the tables out of his hands, and brake them beneath the mount.","So by deceit he brought about their fall: when they tasted of the tree, their shame became manifest to them, and they began to sew together the leaves of the garden over their bodies. And their Lord called unto them: ""Did I not forbid you that tree, and tell you that Satan was an avowed enemy unto you?"""
 0.8868,"And he took the calf which they had made, and burnt it in the fire, and ground it to powder, and strewed it upon the water, and made the children of Israel drink of it.","Then they proceeded: until, when they came to the inhabitants of a town, they asked them for food, but they refused them hospitality. They found there a wall on the point of falling down, but he set it up straight. (Moses) said: ""If thou hadst wished, surely thou couldst have exacted some recompense for it!"""
 0.9125,"And Moses said unto Aaron, What did this people unto thee, that thou hast brought so great a sin upon them?","And Moses chose seventy of his people for Our place of meeting: when they were seized with violent quaking, he prayed: ""O my Lord! if it had been Thy will Thou couldst have destroyed, long before, both them and me: wouldst Thou destroy us for the deeds of the foolish ones among us? this is no more than Thy trial: by it Thou causest whom Thou wilt to stray, and Thou leadest whom Thou wilt into the right path. Thou art our Protector: so forgive us and give us Thy mercy; for Thou art the best of those who forgive."
 0.9414,"And Aaron said, Let not the anger of my lord wax hot: thou knowest the people, that they are set on mischief.","Or do they say, ""He has forged it""? Nay, it is the Truth from thy Lord, that thou mayest admonish a people to whom no warner has come before thee: in order that they may receive guidance."
 0.9297,"For they said unto me, Make us gods, which shall go before us: for as for this Moses, the man that brought us up out of the land of Egypt, we wot not what is become of him.","So We sent this inspiration to the mother of Moses: ""Suckle (thy child), but when thou hast fears about him, cast him into the river, but fear not nor grieve: for We shall restore him to thee, and We shall make him one of Our messengers."""
 0.9138,"And I said unto them, Whosoever hath any gold, let them break it off. So they gave it me: then I cast it into the fire, and there came out this calf.","Then they proceeded: until, when they came to the inhabitants of a town, they asked them for food, but they refused them hospitality. They found there a wall on the point of falling down, but he set it up straight. (Moses) said: ""If thou hadst wished, surely thou couldst have exacted some recompense for it!"""
 0.9460,And when Moses saw that the people were naked; (for Aaron had made them naked unto their shame among their enemies:),Then the people of Pharaoh picked him up (from the river): (It was intended) that (Moses) should be to them an adversary and a cause of sorrow: for Pharaoh and Haman and (all) their hosts were men of sin.
 0.9128,"Then Moses stood in the gate of the camp, and said, Who is on the LORD's side? let him come unto me. And all the sons of Levi gathered themselves together unto him.","When Moses came to the place appointed by Us, and his Lord addressed him, He said: ""O my Lord! show (Thyself) to me, that I may look upon thee."" Allah said: ""By no means canst thou see Me (direct); But look upon the mount; if it abide in its place, then shalt thou see Me."" When his Lord manifested His glory on the Mount, He made it as dust. And Moses fell down in a swoon. When he recovered his senses he said: ""Glory be to Thee! to Thee I turn in repentance, and I am the first to believe."""
 0.9012,"And he said unto them, Thus saith the LORD God of Israel, Put every man his sword by his side, and go in and out from gate to gate throughout the camp, and slay every man his brother, and every man his companion, and every man his neighbor.","Then, when he decided to lay hold of the man who was an enemy to both of them, that man said: ""O Moses! Is it thy intention to slay me as thou slewest a man yesterday? Thy intention is none other than to become a powerful violent man in the land, and not to be one who sets things right!"""
 0.9235,And the children of Levi did according to the word of Moses: and there fell of the people that day about three thousand men.,"All food was lawful to the Children of Israel, except what Israel Made unlawful for itself, before the Law (of Moses) was revealed. Say: ""Bring ye the Law and study it, if ye be men of truth."""
 0.9285,"For Moses had said, Consecrate yourselves today to the LORD, even every man upon his son, and upon his brother; that he may bestow upon you a blessing this day.","Moses prayed: ""Our Lord! Thou hast indeed bestowed on Pharaoh and his chiefs splendour and wealth in the life of the present, and so, Our Lord, they mislead (men) from Thy Path. Deface, our Lord, the features of their wealth, and send hardness to their hearts, so they will not believe until they see the grievous penalty."""
 0.9422,"And it came to pass on the morrow, that Moses said unto the people, Ye have sinned a great sin: and now I will go up unto the LORD; peradventure I shall make an atonement for your sin.","Behold! Allah said: ""O Jesus! I will take thee and raise thee to Myself and clear thee (of the falsehoods) of those who blaspheme; I will make those who follow thee superior to those who reject faith, to the Day of Resurrection: Then shall ye all return unto me, and I will judge between you of the matters wherein ye dispute."
 0.9382,"And Moses returned unto the LORD, and said, Oh, this people have sinned a great sin, and have made them gods of gold.","Moses prayed: ""Our Lord! Thou hast indeed bestowed on Pharaoh and his chiefs splendour and wealth in the life of the present, and so, Our Lord, they mislead (men) from Thy Path. Deface, our Lord, the features of their wealth, and send hardness to their hearts, so they will not believe until they see the grievous penalty."""
 0.9375,"Yet now, if thou wilt forgive their sin--; and if not, blot me, I pray thee, out of thy book which thou hast written.","Say: ""O my Lord! if Thou wilt show me (in my lifetime) that which they are warned against,-"
 0.9233,"And the LORD said unto Moses, Whosoever hath sinned against me, him will I blot out of my book.","Behold! Allah said: ""O Jesus! I will take thee and raise thee to Myself and clear thee (of the falsehoods) of those who blaspheme; I will make those who follow thee superior to those who reject faith, to the Day of Resurrection: Then shall ye all return unto me, and I will judge between you of the matters wherein ye dispute."
 0.9452,"Therefore now go, lead the people unto the place of which I have spoken unto thee: behold, mine Angel shall go before thee: nevertheless in the day when I visit I will visit their sin upon them.","""And I will turn away from you (all) and from those whom ye invoke besides Allah: I will call on my Lord: perhaps, by my prayer to my Lord, I shall be not unblest."""
 0.9349,"And the LORD plagued the people, because they made the calf, which Aaron made.","But they rejected him, and We delivered him, and those with him, in the Ark: but We overwhelmed in the flood those who rejected Our signs. They were indeed a blind people!"
 0.9325,"And the LORD said unto Moses, Depart, and go up hence, thou and the people which thou hast brought up out of the land of Egypt, unto the land which I sware unto Abraham, to Isaac, and to Jacob, saying, Unto thy seed will I give it:","So We sent this inspiration to the mother of Moses: ""Suckle (thy child), but when thou hast fears about him, cast him into the river, but fear not nor grieve: for We shall restore him to thee, and We shall make him one of Our messengers."""
 0.9020,"And I will send an angel before thee; and I will drive out the Canaanite, the Amorite, and the Hittite, and the Perizzite, the Hivite, and the Jebusite:","If they treat thy (mission) as false, so did the peoples before them (with their prophets),- the People of Noah, and 'Ad and Thamud;"
 0.9323,Unto a land flowing with milk and honey: for I will not go up in the midst of thee; for thou art a stiffnecked people: lest I consume thee in the way.,"""This day shall We save thee in the body, that thou mayest be a sign to those who come after thee! but verily, many among mankind are heedless of Our Signs!"""
 0.9251,"And when the people heard these evil tidings, they mourned: and no man did put on him his ornaments.","(When they did not eat), He conceived a fear of them. They said, ""Fear not,"" and they gave him glad tidings of a son endowed with knowledge."
 0.9404,"For the LORD had said unto Moses, Say unto the children of Israel, Ye are a stiffnecked people: I will come up into the midst of thee in a moment, and consume thee: therefore now put off thy ornaments from thee, that I may know what to do unto thee.","So We sent this inspiration to the mother of Moses: ""Suckle (thy child), but when thou hast fears about him, cast him into the river, but fear not nor grieve: for We shall restore him to thee, and We shall make him one of Our messengers."""
 0.9201,And the children of Israel stripped themselves of their ornaments by the mount Horeb.,"We did aforetime give Moses the (Book of) Guidance, and We gave the book in inheritance to the Children of Israel,-"
 0.9199,"And Moses took the tabernacle, and pitched it without the camp, afar off from the camp, and called it the Tabernacle of the congregation. And it came to pass, that every one which sought the LORD went out unto the tabernacle of the congregation, which was without the camp.","We appointed for Moses thirty nights, and completed (the period) with ten (more): thus was completed the term (of communion) with his Lord, forty nights. And Moses had charged his brother Aaron (before he went up): ""Act for me amongst my people: Do right, and follow not the way of those who do mischief."""
 0.9209,"And it came to pass, when Moses went out unto the tabernacle, that all the people rose up, and stood every man at his tent door, and looked after Moses, until he was gone into the tabernacle.","So he saw the morning in the city, looking about, in a state of fear, when behold, the man who had, the day before, sought his help called aloud for his help (again). Moses said to him: ""Thou art truly, it is clear, a quarrelsome fellow!"""
 0.9171,"And it came to pass, as Moses entered into the tabernacle, the cloudy pillar descended, and stood at the door of the tabernacle, and the Lord talked with Moses.","Then when they entered the presence of Joseph, he provided a home for his parents with himself, and said: ""Enter ye Egypt (all) in safety if it please Allah."""
 0.9238,"And all the people saw the cloudy pillar stand at the tabernacle door: and all the people rose up and worshipped, every man in his tent door.","Not all of them are alike: Of the People of the Book are a portion that stand (For the right): They rehearse the Signs of Allah all night long, and they prostrate themselves in adoration."
 0.9353,"And the LORD spake unto Moses face to face, as a man speaketh unto his friend. And he turned again into the camp: but his servant Joshua, the son of Nun, a young man, departed not out of the tabernacle.","We appointed for Moses thirty nights, and completed (the period) with ten (more): thus was completed the term (of communion) with his Lord, forty nights. And Moses had charged his brother Aaron (before he went up): ""Act for me amongst my people: Do right, and follow not the way of those who do mischief."""
 0.9348,"And Moses said unto the LORD, See, thou sayest unto me, Bring up this people: and thou hast not let me know whom thou wilt send with me. Yet thou hast said, I know thee by name, and thou hast also found grace in my sight.","And Moses chose seventy of his people for Our place of meeting: when they were seized with violent quaking, he prayed: ""O my Lord! if it had been Thy will Thou couldst have destroyed, long before, both them and me: wouldst Thou destroy us for the deeds of the foolish ones among us? this is no more than Thy trial: by it Thou causest whom Thou wilt to stray, and Thou leadest whom Thou wilt into the right path. Thou art our Protector: so forgive us and give us Thy mercy; for Thou art the best of those who forgive."
 0.9346,"Now therefore, I pray thee, if I have found grace in thy sight, show me now thy way, that I may know thee, that I may find grace in thy sight: and consider that this nation is thy people.","So he smiled, amused at her speech; and he said: ""O my Lord! so order me that I may be grateful for Thy favours, which thou hast bestowed on me and on my parents, and that I may work the righteousness that will please Thee: And admit me, by Thy Grace, to the ranks of Thy righteous Servants."""
 0.9009,"And he said, My presence shall go with thee, and I will give thee rest.","""And I seek refuge with Thee O my Lord! lest they should come near me."""
 0.9215,"And he said unto him, If thy presence go not with me, carry us not up hence.","And they said, ""O thou sorcerer! Invoke thy Lord for us according to His covenant with thee; for we shall truly accept guidance."""
 0.9389,"For wherein shall it be known here that I and thy people have found grace in thy sight? is it not in that thou goest with us? so shall we be separated, I and thy people, from all the people that are upon the face of the earth.","Thus have we sent thee amongst a People before whom (long since) have (other) Peoples (gone and) passed away; in order that thou mightest rehearse unto them what We send down unto thee by inspiration; yet do they reject (Him), the Most Gracious! Say: ""He is my Lord! There is no god but He! On Him is my trust, and to Him do I turn!"""
 0.9147,"And the LORD said unto Moses, I will do this thing also that thou hast spoken: for thou hast found grace in my sight, and I know thee by name.","Moses said to him: ""May I follow thee, on the footing that thou teach me something of the (Higher) Truth which thou hast been taught?"""
 0.8925,"And he said, I beseech thee, show me thy glory.","He said: ""O my Lord! For that Thou hast bestowed Thy Grace on me, never shall I be a help to those who sin!"""
 0.9189,"And he said, I will make all my goodness pass before thee, and I will proclaim the name of the LORD before thee; and will be gracious to whom I will be gracious, and will show mercy on whom I will show mercy.","Behold! Allah said: ""O Jesus! I will take thee and raise thee to Myself and clear thee (of the falsehoods) of those who blaspheme; I will make those who follow thee superior to those who reject faith, to the Day of Resurrection: Then shall ye all return unto me, and I will judge between you of the matters wherein ye dispute."
 0.9021,"And he said, Thou canst not see my face: for there shall no man see me, and live.","""Never said I to them aught except what Thou didst command me to say, to wit, 'worship Allah, my Lord and your Lord'; and I was a witness over them whilst I dwelt amongst them; when Thou didst take me up Thou wast the Watcher over them, and Thou art a witness to all things."
 0.9137,"And the LORD said, Behold, there is a place by me, and thou shalt stand upon a rock:","We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression."""
 0.9161,"And it shall come to pass, while my glory passeth by, that I will put thee in a cleft of the rock, and will cover thee with my hand while I pass by:","""'Throw (the child) into the chest, and throw (the chest) into the river: the river will cast him up on the bank, and he will be taken up by one who is an enemy to Me and an enemy to him': But I cast (the garment of) love over thee from Me: and (this) in order that thou mayest be reared under Mine eye."
 0.9246,"And I will take away mine hand, and thou shalt see my back parts: but my face shall not be seen.","""Move thy hand into thy bosom, and it will come forth white without stain (or harm), and draw thy hand close to thy side (to guard) against fear. Those are the two credentials from thy Lord to Pharaoh and his Chiefs: for truly they are a people rebellious and wicked."""
 0.9236,"And the LORD said unto Moses, Hew thee two tables of stone like unto the first: and I will write upon these tables the words that were in the first tables, which thou brakest.","Nor wast thou at the side of (the Mountain of) Tur when we called (to Moses). Yet (art thou sent) as Mercy from thy Lord, to give warning to a people to whom no warner had come before thee: in order that they may receive admonition."
 0.9117,"And be ready in the morning, and come up in the morning unto mount Sinai, and present thyself there to me in the top of the mount.","Bear, then, with patience, all that they say, and celebrate the praises of thy Lord, before the rising of the sun and before (its) setting."
 0.9261,"And no man shall come up with thee, neither let any man be seen throughout all the mount; neither let the flocks nor herds feed before that mount.","One Day We shall remove the mountains, and thou wilt see the earth as a level stretch, and We shall gather them, all together, nor shall We leave out any one of them."
 0.8963,"And he hewed two tables of stone like unto the first; and Moses rose up early in the morning, and went up unto mount Sinai, as the LORD had commanded him, and took in his hand the two tables of stone.","When Moses came to the place appointed by Us, and his Lord addressed him, He said: ""O my Lord! show (Thyself) to me, that I may look upon thee."" Allah said: ""By no means canst thou see Me (direct); But look upon the mount; if it abide in its place, then shalt thou see Me."" When his Lord manifested His glory on the Mount, He made it as dust. And Moses fell down in a swoon. When he recovered his senses he said: ""Glory be to Thee! to Thee I turn in repentance, and I am the first to believe."""
 0.9303,"And the LORD descended in the cloud, and stood with him there, and proclaimed the name of the LORD.","But his Lord chose him (for His Grace): He turned to him, and gave him Guidance."
 0.9361,"And the LORD passed by before him, and proclaimed, The LORD, The LORD God, merciful and gracious, long-suffering, and abundant in goodness and truth,","Celebrate the praises of thy Lord, and pray for His Forgiveness: For He is Oft-Returning (in Grace and Mercy)."
 0.9493,"Keeping mercy for thousands, forgiving iniquity and transgression and sin, and that will by no means clear the guilty; visiting the iniquity of the fathers upon the children, and upon the children's children, unto the third and to the fourth generation.","This day are (all) things good and pure made lawful unto you. The food of the People of the Book is lawful unto you and yours is lawful unto them. (Lawful unto you in marriage) are (not only) chaste women who are believers, but chaste women among the People of the Book, revealed before your time,- when ye give them their due dowers, and desire chastity, not lewdness, nor secret intrigues if any one rejects faith, fruitless is his work, and in the Hereafter he will be in the ranks of those who have lost (all spiritual good)."
 0.8901,"And Moses made haste, and bowed his head toward the earth, and worshipped.","So the magicians were thrown down to prostration: they said, ""We believe in the Lord of Aaron and Moses""."
 0.9562,"And he said, If now I have found grace in thy sight, O LORD, let my LORD, I pray thee, go among us; for it is a stiffnecked people; and pardon our iniquity and our sin, and take us for thine inheritance.","""(And to preach thus), 'Seek ye the forgiveness of your Lord, and turn to Him in repentance; that He may grant you enjoyment, good (and true), for a term appointed, and bestow His abounding grace on all who abound in merit! But if ye turn away, then I fear for you the penalty of a great day:"
 0.9355,"And he said, Behold, I make a covenant: before all thy people I will do marvels, such as have not been done in all the earth, nor in any nation: and all the people among which thou art shall see the work of the LORD: for it is a terrible thing that I will do with thee.","""But if they strive to make thee join in worship with Me things of which thou hast no knowledge, obey them not; yet bear them company in this life with justice (and consideration), and follow the way of those who turn to me (in love): in the end the return of you all is to Me, and I will tell you the truth (and meaning) of all that ye did."""
 0.8962,"Observe thou that which I command thee this day: behold, I drive out before thee the Amorite, and the Canaanite, and the Hittite, and the Perizzite, and the Hivite, and the Jebusite.","""And O my people! let not my dissent (from you) cause you to sin, lest ye suffer a fate similar to that of the people of Noah or of Hud or of Salih, nor are the people of Lut far off from you!"
 0.9346,"Take heed to thyself, lest thou make a covenant with the inhabitants of the land whither thou goest, lest it be for a snare in the midst of thee:","Perchance thou mayest (feel the inclination) to give up a part of what is revealed unto thee, and thy heart feeleth straitened lest they say, ""Why is not a treasure sent down unto him, or why does not an angel come down with him?"" But thou art there only to warn! It is Allah that arrangeth all affairs!"
 0.9292,"But ye shall destroy their altars, break their images, and cut down their groves:","The Day that the shin shall be laid bare, and they shall be summoned to bow in adoration, but they shall not be able,-"
 0.9325,"For thou shalt worship no other god: for the LORD, whose name is Jealous, is a jealous God:",(He is) Lord of the East and the West: there is no god but He: take Him therefore for (thy) Disposer of Affairs.
 0.9506,"Lest thou make a covenant with the inhabitants of the land, and they go a whoring after their gods, and do sacrifice unto their gods, and one call thee, and thou eat of his sacrifice;","It is He Who has made the sea subject, that ye may eat thereof flesh that is fresh and tender, and that ye may extract therefrom ornaments to wear; and thou seest the ships therein that plough the waves, that ye may seek (thus) of the bounty of Allah and that ye may be grateful."
 0.9099,"And thou take of their daughters unto thy sons, and their daughters go a whoring after their gods, and make thy sons go a whoring after their gods.","Said the chiefs of Pharaoh's people: ""Wilt thou leave Moses and his people, to spread mischief in the land, and to abandon thee and thy gods?"" He said: ""Their male children will we slay; (only) their females will we save alive; and we have over them (power) irresistible."""
 0.9106,Thou shalt make thee no molten gods.,"So call not on any other god with Allah, or thou wilt be among those under the Penalty."
 0.9158,"The feast of unleavened bread shalt thou keep. Seven days thou shalt eat unleavened bread, as I commanded thee, in the time of the month Abib: for in the month Abib thou camest out from Egypt.",Remember that morning Thou didst leave Thy household (early) to post the faithful at their stations for battle: And Allah heareth and knoweth all things:
 0.9372,"All that openeth the matrix is mine; and every firstling among thy cattle, whether ox or sheep, that is male.","(Take) eight (head of cattle) in (four) pairs: of sheep a pair, and of goats a pair; say, hath He forbidden the two males, or the two females, or (the young) which the wombs of the two females enclose? Tell me with knowledge if ye are truthful:"
 0.9338,"But the firstling of an ass thou shalt redeem with a lamb: and if thou redeem him not, then shalt thou break his neck. All the firstborn of thy sons thou shalt redeem. And none shall appear before me empty.","And Moses chose seventy of his people for Our place of meeting: when they were seized with violent quaking, he prayed: ""O my Lord! if it had been Thy will Thou couldst have destroyed, long before, both them and me: wouldst Thou destroy us for the deeds of the foolish ones among us? this is no more than Thy trial: by it Thou causest whom Thou wilt to stray, and Thou leadest whom Thou wilt into the right path. Thou art our Protector: so forgive us and give us Thy mercy; for Thou art the best of those who forgive."
 0.9044,"Six days thou shalt work, but on the seventh day thou shalt rest: in earing time and in harvest thou shalt rest.","O thou man! Verily thou art ever toiling on towards thy Lord- painfully toiling,- but thou shalt meet Him."
 0.9188,"And thou shalt observe the feast of weeks, of the firstfruits of wheat harvest, and the feast of ingathering at the year's end.","Establish regular prayers - at the sun's decline till the darkness of the night, and the morning prayer and reading: for the prayer and reading in the morning carry their testimony."
 0.9275,"Thrice in the year shall all your men children appear before the LORD God, the God of Israel.","Moses said: ""I have indeed called upon my Lord and your Lord (for protection) from every arrogant one who believes not in the Day of Account!"""
 0.9316,"For I will cast out the nations before thee, and enlarge thy borders: neither shall any man desire thy land, when thou shalt go up to appear before the LORD thy God thrice in the year.","Behold! Allah said: ""O Jesus! I will take thee and raise thee to Myself and clear thee (of the falsehoods) of those who blaspheme; I will make those who follow thee superior to those who reject faith, to the Day of Resurrection: Then shall ye all return unto me, and I will judge between you of the matters wherein ye dispute."
 0.9130,Thou shalt not offer the blood of my sacrifice with leaven; neither shall the sacrifice of the feast of the passover be left unto the morning.,"""Nor hath he any food except the corruption from the washing of wounds,"
 0.9322,The first of the firstfruits of thy land thou shalt bring unto the house of the LORD thy God. Thou shalt not seethe a kid in his mother's milk.,"It is He Who has made the sea subject, that ye may eat thereof flesh that is fresh and tender, and that ye may extract therefrom ornaments to wear; and thou seest the ships therein that plough the waves, that ye may seek (thus) of the bounty of Allah and that ye may be grateful."
 0.9279,"And the LORD said unto Moses, Write thou these words: for after the tenor of these words I have made a covenant with thee and with Israel.","Nor wast thou at the side of (the Mountain of) Tur when we called (to Moses). Yet (art thou sent) as Mercy from thy Lord, to give warning to a people to whom no warner had come before thee: in order that they may receive admonition."
 0.8841,"And he was there with the LORD forty days and forty nights; he did neither eat bread, nor drink water. And he wrote upon the tables the words of the covenant, the ten commandments.","We appointed for Moses thirty nights, and completed (the period) with ten (more): thus was completed the term (of communion) with his Lord, forty nights. And Moses had charged his brother Aaron (before he went up): ""Act for me amongst my people: Do right, and follow not the way of those who do mischief."""
 0.9290,"And it came to pass, when Moses came down from mount Sinai with the two tables of testimony in Moses' hand, when he came down from the mount, that Moses wist not that the skin of his face shone while he talked with him.","The people of Moses made, in his absence, out of their ornaments, the image of calf, (for worship): it seemed to low: did they not see that it could neither speak to them, nor show them the way? They took it for worship and they did wrong."
 0.9194,"And when Aaron and all the children of Israel saw Moses, behold, the skin of his face shone; and they were afraid to come nigh him.","Said Moses: ""Throw ye (first)."" So when they threw, they bewitched the eyes of the people, and struck terror into them: for they showed a great (feat of) magic."
 0.9019,And Moses called unto them; and Aaron and all the rulers of the congregation returned unto him: and Moses talked with them.,"We took the Children of Israel (with safety) across the sea. They came upon a people devoted entirely to some idols they had. They said: ""O Moses! fashion for us a god like unto the gods they have."" He said: ""Surely ye are a people without knowledge."
 0.9136,And afterward all the children of Israel came nigh: and he gave them in commandment all that the LORD had spoken with him in mount Sinai.,"All food was lawful to the Children of Israel, except what Israel Made unlawful for itself, before the Law (of Moses) was revealed. Say: ""Bring ye the Law and study it, if ye be men of truth."""
 0.9149,"And till Moses had done speaking with them, he put a vail on his face.","Then the big Fish did swallow him, and he had done acts worthy of blame."
 0.9199,"But when Moses went in before the LORD to speak with him, he took the vail off, until he came out. And he came out, and spake unto the children of Israel that which he was commanded.","When Moses came to the place appointed by Us, and his Lord addressed him, He said: ""O my Lord! show (Thyself) to me, that I may look upon thee."" Allah said: ""By no means canst thou see Me (direct); But look upon the mount; if it abide in its place, then shalt thou see Me."" When his Lord manifested His glory on the Mount, He made it as dust. And Moses fell down in a swoon. When he recovered his senses he said: ""Glory be to Thee! to Thee I turn in repentance, and I am the first to believe."""
 0.9252,"And the children of Israel saw the face of Moses, that the skin of Moses' face shone: and Moses put the vail upon his face again, until he went in to speak with him.","The people of Moses made, in his absence, out of their ornaments, the image of calf, (for worship): it seemed to low: did they not see that it could neither speak to them, nor show them the way? They took it for worship and they did wrong."
 0.9013,"And Moses gathered all the congregation of the children of Israel together, and said unto them, These are the words which the LORD hath commanded, that ye should do them.","When Moses came to the place appointed by Us, and his Lord addressed him, He said: ""O my Lord! show (Thyself) to me, that I may look upon thee."" Allah said: ""By no means canst thou see Me (direct); But look upon the mount; if it abide in its place, then shalt thou see Me."" When his Lord manifested His glory on the Mount, He made it as dust. And Moses fell down in a swoon. When he recovered his senses he said: ""Glory be to Thee! to Thee I turn in repentance, and I am the first to believe."""
 0.9253,"Six days shall work be done, but on the seventh day there shall be to you an holy day, a sabbath of rest to the LORD: whosoever doeth work therein shall be put to death.",But set thou thy face to the right Religion before there come from Allah the Day which there is no chance of averting: on that Day shall men be divided (in two).
 0.9167,Ye shall kindle no fire throughout your habitations upon the sabbath day.,"""And to those straying in Evil, the Fire will be placed in full view;"
 0.9134,"And Moses spake unto all the congregation of the children of Israel, saying, This is the thing which the LORD commanded, saying,","We did send Moses aforetime, with Our Signs, to Pharaoh and his Chiefs: He said, ""I am a messenger of the Lord of the Worlds."""
 0.9388,"Take ye from among you an offering unto the LORD: whosoever is of a willing heart, let him bring it, an offering of the LORD; gold, and silver, and brass,","""And (appoint him) a messenger to the Children of Israel, (with this message): ""'I have come to you, with a Sign from your Lord, in that I make for you out of clay, as it were, the figure of a bird, and breathe into it, and it becomes a bird by Allah's leave: And I heal those born blind, and the lepers, and I quicken the dead, by Allah's leave; and I declare to you what ye eat, and what ye store in your houses. Surely therein is a Sign for you if ye did believe;"
 0.8899,"And blue, and purple, and scarlet, and fine linen, and goats' hair,","And Olives and Dates,"
 0.9126,"And rams' skins dyed red, and badgers' skins, and shittim wood,","But they turned away (from Allah), and We sent against them the Flood (released) from the dams, and We converted their two garden (rows) into ""gardens"" producing bitter fruit, and tamarisks, and some few (stunted) Lote-trees."
 0.9147,"And oil for the light, and spices for anointing oil, and for the sweet incense,","As to the Righteous, they shall drink of a Cup (of Wine) mixed with Kafur,-"
 0.9097,"And onyx stones, and stones to be set for the ephod, and for the breastplate.",In addition there will be maces of iron (to punish) them.
 0.9399,"And every wise hearted among you shall come, and make all that the LORD hath commanded;","And those who are blessed shall be in the Garden: They will dwell therein for all the time that the heavens and the earth endure, except as thy Lord willeth: a gift without break."
 0.8983,"The tabernacle, his tent, and his covering, his taches, and his boards, his bars, his pillars, and his sockets,","For them there is Hell, as a couch (below) and folds and folds of covering above: such is Our requital of those who do wrong."
 0.9268,"The ark, and the staves thereof, with the mercy seat, and the vail of the covering,","By the Firmament which returns (in its round),"
